clip_id,source,angle_median,angle_min,angle_max,p1_x,p1_y,p2_x,p2_y,camera_x,camera_y,camera_height,focal_px,n_frames_used,n_frames_hip_fallback,reproj_rmse_px
03jodankeri-4_12,03jodankeri-4_norm.mp4,33.19,11.39,66.79,-2.371,-0.441,-0.026,1.067,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_13,03jodankeri-4_norm.mp4,34.55,10.57,62.38,-2.248,-0.456,-0.022,1.063,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_14,03jodankeri-4_norm.mp4,30.05,8.68,65.13,-2.292,-0.147,-0.000,1.066,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_15,03jodankeri-4_norm.mp4,23.42,5.73,59.54,-1.484,0.327,0.073,0.911,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_16,03jodankeri-4_norm.mp4,30.79,7.04,63.34,-1.524,0.180,0.148,0.926,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_17,03jodankeri-4_norm.mp4,28.75,7.64,65.21,-1.608,0.007,0.107,0.916,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_18,03jodankeri-4_norm.mp4,34.29,8.21,66.47,-1.467,0.038,0.089,0.917,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_19,03jodankeri-4_norm.mp4,27.91,8.24,54.45,-1.500,0.202,0.067,0.918,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_20,03jodankeri-4_norm.mp4,30.34,7.45,60.70,-1.543,0.182,-0.017,0.900,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-5_16,03jodankeri-5_norm.mp4,55.73,6.89,89.45,-2.134,0.722,-0.548,1.196,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_17,03jodankeri-5_norm.mp4,59.92,9.48,89.66,-1.814,0.506,-0.489,1.115,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_18,03jodankeri-5_norm.mp4,63.61,8.98,89.61,-1.475,0.336,-0.364,1.077,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_19,03jodankeri-5_norm.mp4,61.68,5.01,89.04,-1.688,0.576,-0.356,1.108,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_20,03jodankeri-5_norm.mp4,61.56,7.73,89.30,-1.326,0.439,-0.573,1.490,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_21,03jodankeri-5_norm.mp4,58.49,6.39,89.76,-1.571,0.626,-0.485,1.425,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_22,03jodankeri-5_norm.mp4,60.34,7.73,88.99,-1.365,0.715,-0.478,1.459,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_23,03jodankeri-5_norm.mp4,59.55,10.21,87.52,-1.663,0.928,-0.494,1.609,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_24,03jodankeri-5_norm.mp4,55.04,9.92,89.56,-1.821,1.146,-0.465,1.566,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_25,03jodankeri-5_norm.mp4,55.82,7.78,89.46,-1.415,0.598,-0.517,1.595,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_26,03jodankeri-5_norm.mp4,55.94,11.34,88.21,-1.662,0.901,-0.460,1.369,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_27,03jodankeri-5_norm.mp4,49.71,8.83,87.97,-2.091,1.392,-0.509,1.472,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_10,03jodankeri-6_norm.mp4,45.11,8.16,75.54,-0.737,-0.816,-0.875,1.193,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_11,03jodankeri-6_norm.mp4,42.19,8.78,70.62,-0.758,-0.802,-0.986,1.496,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_12,03jodankeri-6_norm.mp4,34.16,10.18,68.28,-0.756,-0.795,-1.391,1.964,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_13,03jodankeri-6_norm.mp4,35.45,10.58,71.82,-0.786,-0.785,-1.350,1.895,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_14,03jodankeri-6_norm.mp4,42.34,10.77,69.50,-0.749,-0.806,-0.951,1.698,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_15,03jodankeri-6_norm.mp4,35.42,9.89,75.15,-0.799,-0.777,-1.352,1.627,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_16,03jodankeri-6_norm.mp4,36.83,6.15,75.84,-0.752,-0.640,-1.080,1.018,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_17,03jodankeri-6_norm.mp4,36.08,6.82,77.71,-0.821,-0.649,-1.203,1.048,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_18,03jodankeri-6_norm.mp4,36.01,5.47,72.96,-0.824,-0.631,-1.245,1.272,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_19,03jodankeri-6_norm.mp4,37.49,7.24,66.80,-0.842,-0.632,-1.172,1.413,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_20,03jodankeri-6_norm.mp4,42.73,8.14,82.62,-0.803,-0.657,-0.963,1.074,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_21,03jodankeri-6_norm.mp4,42.57,6.93,79.60,-0.934,-0.539,-1.100,1.199,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-1_01,03jodankeri-1_norm.mp4,11.34,5.80,58.39,-5.831,0.021,-0.340,0.865,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_02,03jodankeri-1_norm.mp4,24.46,4.64,77.68,-3.134,-0.138,-0.345,0.867,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_03,03jodankeri-1_norm.mp4,40.15,5.46,86.17,-1.729,0.056,-0.444,0.862,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_04,03jodankeri-1_norm.mp4,26.82,3.31,84.75,-2.758,0.108,-0.565,0.935,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_05,03jodankeri-1_norm.mp4,24.69,4.82,81.23,-3.262,0.152,-0.603,0.909,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_06,03jodankeri-1_norm.mp4,22.67,3.91,88.20,-3.254,0.135,-0.703,0.930,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_07,03jodankeri-1_norm.mp4,31.23,5.19,88.17,-0.719,-1.061,-2.128,-0.353,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_08,03jodankeri-1_norm.mp4,35.26,4.16,89.87,-0.753,-1.070,-1.852,-0.577,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_09,03jodankeri-1_norm.mp4,27.39,4.44,76.41,-2.451,0.204,-0.413,1.045,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_10,03jodankeri-1_norm.mp4,27.62,5.24,81.24,-2.688,0.266,-0.632,1.082,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_11,03jodankeri-1_norm.mp4,34.14,6.38,81.48,-2.471,0.131,-0.665,1.128,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_12,03jodankeri-1_norm.mp4,22.06,7.13,85.11,-3.404,0.328,-0.735,1.134,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_13,03jodankeri-1_norm.mp4,18.54,4.73,78.43,-4.019,0.446,-0.762,1.179,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_14,03jodankeri-1_norm.mp4,22.79,7.10,82.69,-3.349,0.540,-0.738,1.268,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_15,03jodankeri-1_norm.mp4,20.78,4.66,81.47,-3.468,0.587,-0.723,1.266,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_16,03jodankeri-1_norm.mp4,23.51,4.30,85.40,-3.372,0.468,-0.849,1.234,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_17,03jodankeri-1_norm.mp4,16.74,1.94,78.70,-3.938,0.277,-0.760,0.958,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_18,03jodankeri-1_norm.mp4,18.53,4.69,76.24,-3.972,0.140,-0.764,0.960,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_01,03jodankeri-2_norm.mp4,52.17,4.37,87.87,-0.900,-1.125,-1.482,-0.609,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_02,03jodankeri-2_norm.mp4,32.21,3.91,84.83,-0.919,-1.087,-1.923,-0.677,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_03,03jodankeri-2_norm.mp4,58.45,9.54,88.63,-0.853,-1.079,-0.767,-0.509,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_04,03jodankeri-2_norm.mp4,50.43,5.25,89.93,-0.935,-1.084,-1.458,-0.521,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_05,03jodankeri-2_norm.mp4,46.91,3.96,89.10,-0.979,-1.091,-1.801,-0.482,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_06,03jodankeri-2_norm.mp4,57.01,5.17,88.62,-0.954,-1.091,-1.320,-0.424,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_07,03jodankeri-2_norm.mp4,55.18,8.78,86.92,-0.893,-1.080,-1.255,-0.492,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_08,03jodankeri-2_norm.mp4,52.27,5.47,88.93,-0.906,-1.079,-1.632,-0.486,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_09,03jodankeri-2_norm.mp4,48.92,6.33,89.82,-0.907,-1.080,-1.482,-0.550,5.753,-0.007,1.143,1443.3,60,0,2.97
